node_id,node_class,title
1,0,"A Review of Additive Manufacturing"
2,0,"The status, challenges, and future of additive manufacturing in engineering"
3,0,"Additive manufacturing methods and modelling approaches: a critical review"
4,0,"Mechanical characterization of 3D-printed polymers"
5,0,"Exploration and Development of High Entropy Alloys for Structural Applications"
6,0,"The evolution and future of manufacturing: A review"
7,3,"Material issues in additive manufacturing: A review"
8,0,"Emergence of 3D Printed Dosage Forms: Opportunities and Challenges"
9,3,"Recent Advances in Biomaterials for 3D Printing and Tissue Engineering"
10,0,"Additive manufacturing of metallic components by selective electron beam melting — a review"
11,0,"Corrosion and surface modification on biocompatible metals: A review"
12,0,"The role of additive manufacturing in the era of Industry 4.0 "
13,3,"Topology optimization considering overhang constraints: Eliminating sacrificial support material in additive manufacturing through design"
14,0,"Current and future trends in topology optimization for additive manufacturing"
15,0,"Anisotropy and heterogeneity of microstructure and mechanical properties in metal additive manufacturing: A critical review"
16,0,"Fused filament fabrication of fiber-reinforced polymers: A review"
17,3,"Microstructural Control of Additively Manufactured Metallic Materials"
18,0,"Support structures for additive manufacturing: a review"
19,0,"An overview on 3D printing technology: Technological, materials, and applications"
20,0,"The Influence of Manufacturing Parameters on the Mechanical Behaviour of PLA and ABS Pieces Manufactured by FDM: A Comparative Analysis"
21,1,"Deep learning for smart manufacturing: Methods and applications"
22,1,"A critical review of smart manufacturing & Industry 4.0 maturity models: Implications for small and medium-sized enterprises (SMEs)"
23,1,"Smart manufacturing: Characteristics, technologies and enabling factors"
24,1,"Industry 4.0 framework for management and operations: a review"
25,1,"Drivers to sustainable manufacturing practices and circular economy: a perspective of leather industries in Bangladesh"
26,0,"A review of powder additive manufacturing processes for metallic biomaterials"
27,0,"Polymers for 3D Printing and Customized Additive Manufacturing"
28,0,"3D printing pharmaceuticals: drug development to frontline care"
29,0,"Additive manufacturing of metallic components–process, structure and properties"
30,0,"Progress in additive manufacturing on new materials: A review"
31,0,"A comprehensive review of hydroxyapatite-based coatings adhesion on metallic biomaterials"
32,3,"Corrosion of metallic biomaterials: A review"
33,0,"Infill optimization for additive manufacturing—approaching bone-like porous structures"
34,0,"Self-supporting structure design in additive manufacturing through explicit topology optimization"
35,0,"Additive manufacturing: Toward holistic design"
36,1,"Enabling technologies and tools for digital twin"
37,1,"Industry 4.0 technologies: Implementation patterns in manufacturing companies"
38,1,"Data-driven smart manufacturing"
39,1,"Smart operators in industry 4.0: A human-centered approach to enhance operators' capabilities and competencies within the new smart factory context"
40,3,"Novel Biomaterials Used in Medical 3D Printing Techniques"
41,1,"Servitization and Industry 4.0 convergence in the digital transformation of product firms: A business model innovation perspective"
42,1,"The expected contribution of Industry 4.0 technologies for industrial performance"
43,1,"Digital twin-driven manufacturing cyber-physical system for parallel controlling of smart workshop"
44,1,"Digital twin service towards smart manufacturing"
45,1,"The internet of things, fog and cloud continuum: Integration and challenges"
46,1,"Industry 4.0, digitization, and opportunities for sustainability"
47,2,"Nanoindentation. Mechanical engineering series"
48,2,"Grid indentation analysis of composite microstructure and mechanics: Principles and validation"
49,2,"Experimental characterization of shear transformation zones for plastic flow of bulk metallic glasses"
50,2,"The nano-mechanical signature of ultra high performance concrete by statistical nanoindentation techniques"
51,3,"Micro‐/nanostructured mechanical metamaterials"
52,3,"Chemical structure, network topology, and porosity effects on the mechanical properties of Zeolitic Imidazolate Frameworks"
53,3,"Investigations on a methacrylate-based flowable composite based on the SDR™ technology"
54,3,"Measurement of creep compliance of solid polymers by nanoindentation"
55,3,"Hydrocolloid gel particles: formation, characterization, and application"
56,2,"Macro-, micro-and nano-mechanical investigations on silorane and methacrylate-based composites"
57,3,"Microstructure and deformation behavior of biocompatible TiO2 nanotubes on titanium substrate"
58,3,"Fundamental aspects and recent progress on wear/scratch damage in polymer nanocomposites"
59,3,"Nanoindentation in polymer nanocomposites"
60,3,"Nanoindentation mapping of mechanical properties of cement paste and natural rocks"
61,3,"Evaluation of elastic modulus and hardness of thin films by nanoindentation"
62,3,"Micro-and nanoindentation techniques for mechanical characterisation of materials"
63,3,"Determination of the effective zero-point and the extraction of spherical nanoindentation stress–strain curves"
